NAME,total_population,median_household_income,state,county,tract,GEOID,city
Census Tract 2327.03; Harris County; Texas,2545,53458,48,201,232703,48201232703,Houston
Census Tract 2327.04; Harris County; Texas,1823,51842,48,201,232704,48201232704,Houston
Census Tract 2328.01; Harris County; Texas,2671,69492,48,201,232801,48201232801,Houston
Census Tract 2328.02; Harris County; Texas,2907,54519,48,201,232802,48201232802,Houston
Census Tract 2329.01; Harris County; Texas,4743,58355,48,201,232901,48201232901,Houston
Census Tract 2329.02; Harris County; Texas,4669,61457,48,201,232902,48201232902,Houston
Census Tract 2330.01; Harris County; Texas,4287,43542,48,201,233001,48201233001,Houston
Census Tract 2330.02; Harris County; Texas,4142,79444,48,201,233002,48201233002,Houston
Census Tract 2330.03; Harris County; Texas,2755,65256,48,201,233003,48201233003,Houston
Census Tract 2331.01; Harris County; Texas,4502,47654,48,201,233101,48201233101,Houston
Census Tract 2331.03; Harris County; Texas,5212,49380,48,201,233103,48201233103,Houston
Census Tract 2331.04; Harris County; Texas,2544,45284,48,201,233104,48201233104,Houston
Census Tract 2331.05; Harris County; Texas,4871,48750,48,201,233105,48201233105,Houston
Census Tract 2332; Harris County; Texas,6156,61491,48,201,233200,48201233200,Houston
Census Tract 2333; Harris County; Texas,4637,62973,48,201,233300,48201233300,Houston
Census Tract 2334; Harris County; Texas,2787,42601,48,201,233400,48201233400,Houston
Census Tract 2335.01; Harris County; Texas,3493,62720,48,201,233501,48201233501,Houston
Census Tract 2335.02; Harris County; Texas,3178,71006,48,201,233502,48201233502,Houston
Census Tract 2336; Harris County; Texas,2113,36218,48,201,233600,48201233600,Houston
Census Tract 2337.01; Harris County; Texas,4515,55975,48,201,233701,48201233701,Houston
Census Tract 2337.02; Harris County; Texas,3215,42750,48,201,233702,48201233702,Houston
Census Tract 2337.03; Harris County; Texas,2672,54375,48,201,233703,48201233703,Houston
Census Tract 2401.01; Harris County; Texas,2295,37238,48,201,240101,48201240101,Houston
Census Tract 2401.02; Harris County; Texas,1553,33025,48,201,240102,48201240102,Houston
Census Tract 2404; Harris County; Texas,7919,59000,48,201,240400,48201240400,Houston
Census Tract 2405.03; Harris County; Texas,2863,40651,48,201,240503,48201240503,Houston
Census Tract 2405.04; Harris County; Texas,3223,26818,48,201,240504,48201240504,Houston
Census Tract 2405.05; Harris County; Texas,1375,21824,48,201,240505,48201240505,Houston
Census Tract 2405.06; Harris County; Texas,5613,41536,48,201,240506,48201240506,Houston
