NAME,total_population,median_household_income,state,county,tract,GEOID,city
Census Tract 1042.16; Maricopa County; Arizona,4606,84462,04,013,104216,04013104216,Phoenix
Census Tract 1042.17; Maricopa County; Arizona,5217,71250,04,013,104217,04013104217,Phoenix
Census Tract 1042.18; Maricopa County; Arizona,3921,79427,04,013,104218,04013104218,Phoenix
Census Tract 1042.19; Maricopa County; Arizona,4232,76458,04,013,104219,04013104219,Phoenix
Census Tract 1042.21; Maricopa County; Arizona,5417,91519,04,013,104221,04013104221,Phoenix
Census Tract 1042.22; Maricopa County; Arizona,6961,76825,04,013,104222,04013104222,Phoenix
Census Tract 1042.23; Maricopa County; Arizona,2197,146538,04,013,104223,04013104223,Phoenix
Census Tract 1042.24; Maricopa County; Arizona,6590,77574,04,013,104224,04013104224,Phoenix
Census Tract 1042.25; Maricopa County; Arizona,3805,100871,04,013,104225,04013104225,Phoenix
Census Tract 1042.26; Maricopa County; Arizona,4516,62879,04,013,104226,04013104226,Phoenix
Census Tract 1042.27; Maricopa County; Arizona,1991,48596,04,013,104227,04013104227,Phoenix
Census Tract 1043.01; Maricopa County; Arizona,3941,68826,04,013,104301,04013104301,Phoenix
Census Tract 1043.02; Maricopa County; Arizona,3846,41923,04,013,104302,04013104302,Phoenix
Census Tract 1044.01; Maricopa County; Arizona,5686,38151,04,013,104401,04013104401,Phoenix
Census Tract 1044.02; Maricopa County; Arizona,2435,70455,04,013,104402,04013104402,Phoenix
Census Tract 1045.01; Maricopa County; Arizona,4080,48135,04,013,104501,04013104501,Phoenix
Census Tract 1045.02; Maricopa County; Arizona,5456,56169,04,013,104502,04013104502,Phoenix
Census Tract 1046; Maricopa County; Arizona,4009,56610,04,013,104600,04013104600,Phoenix
Census Tract 1047.01; Maricopa County; Arizona,2727,68613,04,013,104701,04013104701,Phoenix
Census Tract 1047.02; Maricopa County; Arizona,3662,42543,04,013,104702,04013104702,Phoenix
Census Tract 1048.01; Maricopa County; Arizona,3983,138636,04,013,104801,04013104801,Phoenix
Census Tract 1048.02; Maricopa County; Arizona,5632,79085,04,013,104802,04013104802,Phoenix
Census Tract 1049; Maricopa County; Arizona,4293,116188,04,013,104900,04013104900,Phoenix
Census Tract 1050.02; Maricopa County; Arizona,2450,210614,04,013,105002,04013105002,Phoenix
Census Tract 1050.03; Maricopa County; Arizona,4230,250001,04,013,105003,04013105003,Phoenix
Census Tract 1050.04; Maricopa County; Arizona,3472,215324,04,013,105004,04013105004,Phoenix
Census Tract 1051.01; Maricopa County; Arizona,4279,181520,04,013,105101,04013105101,Phoenix
Census Tract 1051.02; Maricopa County; Arizona,4682,106919,04,013,105102,04013105102,Phoenix
Census Tract 1051.03; Maricopa County; Arizona,2834,228445,04,013,105103,04013105103,Phoenix
Census Tract 1052; Maricopa County; Arizona,5887,83476,04,013,105200,04013105200,Phoenix
Census Tract 1053; Maricopa County; Arizona,4683,90054,04,013,105300,04013105300,Phoenix
Census Tract 1054; Maricopa County; Arizona,3734,137955,04,013,105400,04013105400,Phoenix
Census Tract 1055.01; Maricopa County; Arizona,2319,60694,04,013,105501,04013105501,Phoenix
Census Tract 1055.02; Maricopa County; Arizona,1867,51820,04,013,105502,04013105502,Phoenix
Census Tract 1055.03; Maricopa County; Arizona,4193,45677,04,013,105503,04013105503,Phoenix
Census Tract 1056.01; Maricopa County; Arizona,4095,92292,04,013,105601,04013105601,Phoenix
Census Tract 1056.02; Maricopa County; Arizona,6553,49003,04,013,105602,04013105602,Phoenix
Census Tract 1057.01; Maricopa County; Arizona,3500,66688,04,013,105701,04013105701,Phoenix
Census Tract 1057.02; Maricopa County; Arizona,4244,72320,04,013,105702,04013105702,Phoenix
Census Tract 1058; Maricopa County; Arizona,6751,86890,04,013,105800,04013105800,Phoenix
Census Tract 1059; Maricopa County; Arizona,5286,70638,04,013,105900,04013105900,Phoenix
Census Tract 1060.01; Maricopa County; Arizona,1853,48456,04,013,106001,04013106001,Phoenix
Census Tract 1060.02; Maricopa County; Arizona,2864,45822,04,013,106002,04013106002,Phoenix
Census Tract 1060.03; Maricopa County; Arizona,3856,67716,04,013,106003,04013106003,Phoenix
Census Tract 1061; Maricopa County; Arizona,5803,76716,04,013,106100,04013106100,Phoenix
Census Tract 1062; Maricopa County; Arizona,3369,221833,04,013,106200,04013106200,Phoenix
Census Tract 1063; Maricopa County; Arizona,5501,105491,04,013,106300,04013106300,Phoenix
Census Tract 1064; Maricopa County; Arizona,3253,90146,04,013,106400,04013106400,Phoenix
Census Tract 1065.01; Maricopa County; Arizona,3319,81310,04,013,106501,04013106501,Phoenix
Census Tract 1065.02; Maricopa County; Arizona,3875,76434,04,013,106502,04013106502,Phoenix
Census Tract 1066; Maricopa County; Arizona,3676,136250,04,013,106600,04013106600,Phoenix
Census Tract 1067.01; Maricopa County; Arizona,4322,42109,04,013,106701,04013106701,Phoenix
