NAME,poverty_universe,below_poverty_count,state,county,tract,GEOID,city
Census Tract 926; Maricopa County; Arizona,3297,798,04,013,092600,04013092600,Phoenix
Census Tract 927.05; Maricopa County; Arizona,4684,990,04,013,092705,04013092705,Phoenix
Census Tract 927.08; Maricopa County; Arizona,1891,130,04,013,092708,04013092708,Phoenix
Census Tract 927.09; Maricopa County; Arizona,4557,367,04,013,092709,04013092709,Phoenix
Census Tract 927.10; Maricopa County; Arizona,5630,376,04,013,092710,04013092710,Phoenix
Census Tract 927.11; Maricopa County; Arizona,3712,347,04,013,092711,04013092711,Phoenix
Census Tract 927.12; Maricopa County; Arizona,4914,321,04,013,092712,04013092712,Phoenix
Census Tract 927.13; Maricopa County; Arizona,5119,485,04,013,092713,04013092713,Phoenix
Census Tract 927.15; Maricopa County; Arizona,4874,333,04,013,092715,04013092715,Phoenix
Census Tract 927.16; Maricopa County; Arizona,3912,746,04,013,092716,04013092716,Phoenix
Census Tract 927.17; Maricopa County; Arizona,6316,1514,04,013,092717,04013092717,Phoenix
Census Tract 927.18; Maricopa County; Arizona,4519,1226,04,013,092718,04013092718,Phoenix
Census Tract 927.19; Maricopa County; Arizona,5364,501,04,013,092719,04013092719,Phoenix
Census Tract 927.20; Maricopa County; Arizona,8095,905,04,013,092720,04013092720,Phoenix
Census Tract 927.21; Maricopa County; Arizona,4016,264,04,013,092721,04013092721,Phoenix
Census Tract 927.23; Maricopa County; Arizona,4322,235,04,013,092723,04013092723,Phoenix
Census Tract 927.24; Maricopa County; Arizona,4608,852,04,013,092724,04013092724,Phoenix
Census Tract 928.01; Maricopa County; Arizona,5936,1390,04,013,092801,04013092801,Phoenix
Census Tract 928.02; Maricopa County; Arizona,5701,2288,04,013,092802,04013092802,Phoenix
Census Tract 929; Maricopa County; Arizona,3517,1373,04,013,092900,04013092900,Phoenix
Census Tract 930.01; Maricopa County; Arizona,6140,2661,04,013,093001,04013093001,Phoenix
Census Tract 930.02; Maricopa County; Arizona,4199,742,04,013,093002,04013093002,Phoenix
Census Tract 931.01; Maricopa County; Arizona,5750,2087,04,013,093101,04013093101,Phoenix
Census Tract 931.04; Maricopa County; Arizona,5102,1045,04,013,093104,04013093104,Phoenix
Census Tract 931.05; Maricopa County; Arizona,5340,1613,04,013,093105,04013093105,Phoenix
Census Tract 931.06; Maricopa County; Arizona,4169,1555,04,013,093106,04013093106,Phoenix
Census Tract 932; Maricopa County; Arizona,4735,662,04,013,093200,04013093200,Phoenix
Census Tract 1032.05; Maricopa County; Arizona,2447,134,04,013,103205,04013103205,Phoenix
Census Tract 1032.06; Maricopa County; Arizona,2284,78,04,013,103206,04013103206,Phoenix
Census Tract 1032.07; Maricopa County; Arizona,2109,92,04,013,103207,04013103207,Phoenix
Census Tract 1032.08; Maricopa County; Arizona,3756,236,04,013,103208,04013103208,Phoenix
Census Tract 1032.09; Maricopa County; Arizona,4958,232,04,013,103209,04013103209,Phoenix
Census Tract 1032.10; Maricopa County; Arizona,7767,491,04,013,103210,04013103210,Phoenix
Census Tract 1032.11; Maricopa County; Arizona,4728,233,04,013,103211,04013103211,Phoenix
Census Tract 1032.12; Maricopa County; Arizona,4308,165,04,013,103212,04013103212,Phoenix
Census Tract 1032.14; Maricopa County; Arizona,3798,69,04,013,103214,04013103214,Phoenix
Census Tract 1032.15; Maricopa County; Arizona,2924,102,04,013,103215,04013103215,Phoenix
Census Tract 1032.16; Maricopa County; Arizona,5552,268,04,013,103216,04013103216,Phoenix
Census Tract 1032.17; Maricopa County; Arizona,5478,511,04,013,103217,04013103217,Phoenix
Census Tract 1032.19; Maricopa County; Arizona,3811,213,04,013,103219,04013103219,Phoenix
Census Tract 1032.20; Maricopa County; Arizona,2820,199,04,013,103220,04013103220,Phoenix
Census Tract 1033.02; Maricopa County; Arizona,6028,331,04,013,103302,04013103302,Phoenix
Census Tract 1033.03; Maricopa County; Arizona,3853,340,04,013,103303,04013103303,Phoenix
Census Tract 1033.04; Maricopa County; Arizona,4406,1175,04,013,103304,04013103304,Phoenix
Census Tract 1033.05; Maricopa County; Arizona,3697,1040,04,013,103305,04013103305,Phoenix
Census Tract 1033.06; Maricopa County; Arizona,4116,1331,04,013,103306,04013103306,Phoenix
Census Tract 1034; Maricopa County; Arizona,4235,229,04,013,103400,04013103400,Phoenix
Census Tract 1035.01; Maricopa County; Arizona,3040,411,04,013,103501,04013103501,Phoenix
Census Tract 1035.02; Maricopa County; Arizona,6123,634,04,013,103502,04013103502,Phoenix
Census Tract 1036.04; Maricopa County; Arizona,4238,502,04,013,103604,04013103604,Phoenix
Census Tract 1036.05; Maricopa County; Arizona,6036,252,04,013,103605,04013103605,Phoenix
Census Tract 1036.06; Maricopa County; Arizona,4847,282,04,013,103606,04013103606,Phoenix
Census Tract 1036.07; Maricopa County; Arizona,4156,402,04,013,103607,04013103607,Phoenix
Census Tract 1036.08; Maricopa County; Arizona,4320,231,04,013,103608,04013103608,Phoenix
Census Tract 1036.09; Maricopa County; Arizona,6138,1273,04,013,103609,04013103609,Phoenix
Census Tract 1036.11; Maricopa County; Arizona,5008,190,04,013,103611,04013103611,Phoenix
Census Tract 1036.12; Maricopa County; Arizona,5630,210,04,013,103612,04013103612,Phoenix
Census Tract 1036.14; Maricopa County; Arizona,3028,320,04,013,103614,04013103614,Phoenix
Census Tract 1036.15; Maricopa County; Arizona,5294,1861,04,013,103615,04013103615,Phoenix
Census Tract 1037.01; Maricopa County; Arizona,4930,1248,04,013,103701,04013103701,Phoenix
Census Tract 1037.02; Maricopa County; Arizona,3557,290,04,013,103702,04013103702,Phoenix
Census Tract 1039; Maricopa County; Arizona,6515,931,04,013,103900,04013103900,Phoenix
Census Tract 1040; Maricopa County; Arizona,7437,2061,04,013,104000,04013104000,Phoenix
Census Tract 1041; Maricopa County; Arizona,7428,1068,04,013,104100,04013104100,Phoenix
Census Tract 1042.02; Maricopa County; Arizona,4986,335,04,013,104202,04013104202,Phoenix
