NAME,poverty_universe,below_poverty_count,state,county,tract,GEOID,city
Census Tract 2334; Harris County; Texas,2787,708,48,201,233400,48201233400,Houston
Census Tract 2335.01; Harris County; Texas,3407,640,48,201,233501,48201233501,Houston
Census Tract 2335.02; Harris County; Texas,3178,431,48,201,233502,48201233502,Houston
Census Tract 2336; Harris County; Texas,2113,840,48,201,233600,48201233600,Houston
Census Tract 2337.01; Harris County; Texas,4358,918,48,201,233701,48201233701,Houston
Census Tract 2337.02; Harris County; Texas,3175,1039,48,201,233702,48201233702,Houston
Census Tract 2337.03; Harris County; Texas,2672,458,48,201,233703,48201233703,Houston
Census Tract 2401.01; Harris County; Texas,2271,881,48,201,240101,48201240101,Houston
Census Tract 2401.02; Harris County; Texas,1553,539,48,201,240102,48201240102,Houston
Census Tract 2404; Harris County; Texas,7805,1435,48,201,240400,48201240400,Houston
Census Tract 2405.03; Harris County; Texas,2832,740,48,201,240503,48201240503,Houston
Census Tract 2405.04; Harris County; Texas,3223,880,48,201,240504,48201240504,Houston
Census Tract 2405.05; Harris County; Texas,1375,804,48,201,240505,48201240505,Houston
Census Tract 2405.06; Harris County; Texas,5613,2499,48,201,240506,48201240506,Houston
Census Tract 2406; Harris County; Texas,3638,1984,48,201,240600,48201240600,Houston
Census Tract 2407.03; Harris County; Texas,5784,869,48,201,240703,48201240703,Houston
Census Tract 2407.04; Harris County; Texas,4348,492,48,201,240704,48201240704,Houston
Census Tract 2407.05; Harris County; Texas,4625,458,48,201,240705,48201240705,Houston
Census Tract 2407.06; Harris County; Texas,10487,1377,48,201,240706,48201240706,Houston
Census Tract 2407.07; Harris County; Texas,5200,394,48,201,240707,48201240707,Houston
Census Tract 2408.02; Harris County; Texas,8654,2320,48,201,240802,48201240802,Houston
Census Tract 2408.03; Harris County; Texas,2894,652,48,201,240803,48201240803,Houston
Census Tract 2408.04; Harris County; Texas,2895,449,48,201,240804,48201240804,Houston
Census Tract 2409.03; Harris County; Texas,6367,657,48,201,240903,48201240903,Houston
Census Tract 2409.04; Harris County; Texas,9548,616,48,201,240904,48201240904,Houston
Census Tract 2409.05; Harris County; Texas,5379,566,48,201,240905,48201240905,Houston
Census Tract 2409.06; Harris County; Texas,8096,1079,48,201,240906,48201240906,Houston
Census Tract 2410.01; Harris County; Texas,3982,342,48,201,241001,48201241001,Houston
Census Tract 2410.02; Harris County; Texas,5316,165,48,201,241002,48201241002,Houston
Census Tract 2411.01; Harris County; Texas,4806,589,48,201,241101,48201241101,Houston
Census Tract 2411.03; Harris County; Texas,4606,703,48,201,241103,48201241103,Houston
Census Tract 2411.04; Harris County; Texas,9842,1588,48,201,241104,48201241104,Houston
Census Tract 2411.05; Harris County; Texas,5832,388,48,201,241105,48201241105,Houston
Census Tract 2412.01; Harris County; Texas,3234,189,48,201,241201,48201241201,Houston
Census Tract 2412.02; Harris County; Texas,6642,932,48,201,241202,48201241202,Houston
Census Tract 2413.01; Harris County; Texas,4770,325,48,201,241301,48201241301,Houston
Census Tract 2413.02; Harris County; Texas,8665,113,48,201,241302,48201241302,Houston
Census Tract 2414; Harris County; Texas,10443,320,48,201,241400,48201241400,Houston
Census Tract 2415.01; Harris County; Texas,3961,705,48,201,241501,48201241501,Houston
Census Tract 2415.02; Harris County; Texas,2281,741,48,201,241502,48201241502,Houston
Census Tract 2415.03; Harris County; Texas,2514,481,48,201,241503,48201241503,Houston
