GEOID,total_population,lst_c,hi_c,quadrant,city,lst_median_city,hi_median_city
48201450200,5955,46.59772882743433,34.182124562548104,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201450500,3228,46.96701396782151,34.20131872067585,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201453800,3561,47.77952162633153,34.32713300899536,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201340600,2443,47.467962222546944,34.30535637413309,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201340800,5707,46.97222839793107,34.30535637413309,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201433300,4576,48.47105019076374,34.19907681151132,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201520502,4848,49.025653816560805,34.06943130034954,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201520604,3217,48.660674025842006,34.06943130034954,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201250602,4615,37.40818413200002,34.06298350196785,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201433100,3158,50.350245861842886,34.19907681151132,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201520200,3030,47.91092171899784,34.19809785111112,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48157670603,5861,47.40510228913677,34.17742101917764,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48157673007,2808,38.09553456935431,34.18258016559219,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48157673006,5688,38.09507188814302,34.18258016559219,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201423100,2913,50.27917993625002,34.19907681151132,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201410401,3568,49.08837535868717,34.19809785111112,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201431801,3577,47.82928478000002,34.19809785111112,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201422702,3150,46.15489533245176,34.19907681151132,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201422701,4698,47.40515644307695,34.19453595989801,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201313901,3125,50.460450881036195,34.18305435169938,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201314003,2638,50.84355943962265,34.18305435169938,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201314402,2248,50.5652172061062,34.189995108284705,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201412201,2264,48.01568120460421,34.19809785111112,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201411902,2221,47.592080732870045,34.171944709656074,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201313801,1686,50.340265261007225,34.18305435169938,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201333501,3064,49.90354511061276,34.175943089573586,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201333302,3248,48.437339416291806,34.175943089573586,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201431505,1311,51.79941554000002,34.19809785111112,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201410704,1935,49.76450032797922,34.171944709656074,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201511003,2086,49.5284866319305,34.19809785111112,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201511202,3527,51.1435475628134,34.06943130034954,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201432706,1856,50.59611713545457,34.19809785111112,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201511501,3377,49.57938335567259,34.06943130034954,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201350803,3096,46.09305731817287,34.30535637413309,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201432102,4568,50.34228537818263,34.182124562548104,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201554809,11274,48.72090073928431,33.80729690919834,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201532102,3081,48.967476680443326,34.06943130034954,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201532302,4132,49.34449808364524,34.06943130034954,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201350104,5346,45.80285207908228,34.184396149132105,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
48201411504,2910,49.537240017014035,34.19809785111112,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201411506,2846,51.476955226630984,34.19809785111112,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201411505,2991,50.55546988625002,34.19809785111112,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201220702,3560,47.04173948237085,34.06312454115072,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201341001,4337,48.84257127248201,34.30535637413309,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201431803,2481,49.66521771159213,34.19809785111112,High LST + High HI,Houston,48.352145765360696,34.182124562548104
48201211600,2991,48.46546763817977,34.171944709656074,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201211700,3530,47.68696135588302,34.117534625403394,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201531200,3599,48.531449551119245,34.06943130034954,High LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201312300,2575,48.26692701673523,34.171944709656074,Low LST + Low HI,Houston,48.352145765360696,34.182124562548104
48201332000,6092,48.220259364662446,34.18305435169938,Low LST + High HI,Houston,48.352145765360696,34.182124562548104
