ALAND,AWATER,COUNTYFP,GEOID,NAME,NAMELSAD,STATEFP,TRACTCE,area_km2,below_poverty_count,below_poverty_count_clean,city,high_poverty_flag,inequity_group,low_income_flag,hi_summer_mean_c,hi_summer_median_c,median_household_income,median_household_income_clean,poverty_rate,poverty_universe,poverty_universe_clean,total_population,total_population_clean
1077758,32009,013,04013116711,1167.11,Census Tract 1167.11,04,116711,1.109111685196818,275,275,Phoenix,True,High income + High poverty,False,33.87067866933084,33.87067866933084,88750,88750.0,0.1372255489021956,2004,2004,2004,2004
2603116,0,013,04013106600,1066,Census Tract 1066,04,106600,2.6016742759133056,88,88,Phoenix,False,High income + Low poverty,False,33.3082424010499,33.3082424010499,136250,136250.0,0.024519364725550292,3589,3589,3676,3676
1557172,16048,013,04013108200,1082,Census Tract 1082,04,108200,1.5722889426698092,413,413,Phoenix,False,High income + Low poverty,False,33.3145440082961,33.3145440082961,108750,108750.0,0.12280701754385964,3363,3363,3363,3363
2624350,0,013,04013111000,1110,Census Tract 1110,04,111000,2.622797906484484,136,136,Phoenix,False,High income + Low poverty,False,33.684223247532515,33.684223247532515,105336,105336.0,0.029610276507729152,4593,4593,4593,4593
971454,9453,013,04013113602,1136.02,Census Tract 1136.02,04,113602,0.9803357205900888,712,712,Phoenix,True,Low income + High poverty,True,33.55384219869438,33.55384219869438,42063,42063.0,0.1708663306935445,4167,4167,4200,4200
2665412,0,013,04013113900,1139,Census Tract 1139,04,113900,2.6638895824158113,546,546,Phoenix,True,Low income + High poverty,True,33.55384219869438,33.55384219869438,23232,23232.0,0.4105263157894737,1330,1330,1330,1330
2617578,0,013,04013114000,1140,Census Tract 1140,04,114000,2.616103701707566,298,298,Phoenix,True,Low income + High poverty,True,33.55384219869438,33.55384219869438,48523,48523.0,0.16546363131593558,1801,1801,1801,1801
1309884,0,013,04013114100,1141,Census Tract 1141,04,114100,1.309155240303268,276,276,Phoenix,True,Low income + High poverty,True,33.55384219869438,33.55384219869438,72895,72895.0,0.1838774150566289,1501,1501,2605,2605
1279098,0,013,04013114200,1142,Census Tract 1142,04,114200,1.2783901207360897,167,167,Phoenix,True,Low income + High poverty,True,33.55384219869438,33.55384219869438,32452,32452.0,0.17803837953091683,938,938,938,938
1311625,0,013,04013114302,1143.02,Census Tract 1143.02,04,114302,1.310907715086724,645,645,Phoenix,True,Low income + High poverty,True,33.55384219869438,33.55384219869438,31484,31484.0,0.24874662553027382,2593,2593,2593,2593
