city,GEOID,lst_c,hi_c,hi_minus_lst,lst_hot_q75,hi_hot_q75,mismatch_class,priority_flag,lst_z_city,hi_z_city,hi_minus_lst_z
las_vegas,32003003640,46.91019321766565,30.76536905919516,-16.14482415847049,False,False,Neither hotspot,False,-0.07002518868096255,-0.28886295210001844,-0.2188377634190559
las_vegas,32003003641,47.007108020959315,30.76536905919516,-16.241738961764156,False,False,Neither hotspot,False,0.0031589433002769066,-0.28886295210001844,-0.29202189540029533
las_vegas,32003003638,46.81954884414618,30.76536905919516,-16.054179784951025,False,False,Neither hotspot,False,-0.13847427560635603,-0.28886295210001844,-0.15038867649366242
las_vegas,32003002976,45.571722563375864,30.816047771731157,-14.755674791644708,False,False,Neither hotspot,True,-1.0807563637703226,-0.24466234685255522,0.8360940169177673
las_vegas,32003003233,46.10641774891779,29.618539401904307,-16.487878347013485,False,False,Neither hotspot,False,-0.6769872624715134,-1.2890968260760054,-0.612109563604492
las_vegas,32003003234,46.14911703239293,30.8977331107037,-15.251383921689229,False,False,Neither hotspot,False,-0.644743375148336,-0.1734185989008675,0.4713247762474685
las_vegas,32003003428,47.93558451816749,30.8977331107037,-17.037851407463787,False,False,Neither hotspot,False,0.7042876068674443,-0.1734185989008675,-0.8777062057683118
las_vegas,32003003617,47.707073365231295,30.76536905919516,-16.941704306036137,False,False,Neither hotspot,False,0.5317299602817779,-0.28886295210001844,-0.8205929123817963
las_vegas,32003003639,46.80044159544162,30.76536905919516,-16.03507253624646,False,False,Neither hotspot,False,-0.15290290119780503,-0.28886295210001844,-0.13596005090221341
las_vegas,32003003636,46.66007374631272,30.76536905919516,-15.89470468711756,False,False,Neither hotspot,False,-0.25890011573524274,-0.28886295210001844,-0.029962836364775702
las_vegas,32003003630,46.19532302814113,30.818314679798576,-15.377008348342557,False,False,Neither hotspot,False,-0.6098514331927348,-0.24268521082035807,0.3671662223723767
las_vegas,32003003312,46.84327943078916,29.637118028827103,-17.206161401962056,False,False,Neither hotspot,False,-0.12055438797464517,-1.2728930491140098,-1.1523386611393647
las_vegas,32003002977,45.57566252587994,30.816047771731157,-14.759614754148783,False,False,Neither hotspot,True,-1.0777811450617234,-0.24466234685255522,0.8331187982091681
las_vegas,32003002982,46.216496272630486,30.816047771731157,-15.40044850089933,False,False,Neither hotspot,False,-0.5938626939442567,-0.24466234685255522,0.3492003470917015
las_vegas,32003005822,44.789645799011566,28.484741921582422,-16.304903877429144,False,False,Neither hotspot,False,-1.6713329031382682,-2.277964387040169,-0.6066314839019009
las_vegas,32003005841,44.99168269230772,28.484741921582422,-16.506940770725297,False,False,Neither hotspot,False,-1.518766998224216,-2.277964387040169,-0.7591973888159531
las_vegas,32003005842,45.87090257171121,28.484741921582422,-17.38616065012879,False,False,Neither hotspot,False,-0.854833919808722,-2.277964387040169,-1.423130467231447
las_vegas,32003002821,47.827379564879585,32.104452955425614,-15.722926609453973,False,True,HI-only hotspot,True,0.6225778441343924,0.8790498801068993,0.2564720359725069
las_vegas,32003001801,48.10231328320806,31.91105079378601,-16.19126248942205,True,False,LST-only hotspot,False,0.8301909728251204,0.7103697346796434,-0.11982123814547707
las_vegas,32003005421,49.43098621877695,33.093711702871204,-16.337274515905747,True,True,Both LST and HI hotspot,False,1.8335235099807847,1.7418546593795254,-0.09166885060125929
las_vegas,32003005336,49.03620550161816,33.093711702871204,-15.94249379874696,True,True,Both LST and HI hotspot,False,1.5354092578097147,1.7418546593795254,0.20644540156981073
las_vegas,32003001611,49.01203340595501,32.08101575859078,-16.93101764736423,True,True,Both LST and HI hotspot,False,1.5171559695693717,0.8586085896011912,-0.6585473799681805
las_vegas,32003005337,46.794005083514904,32.104452955425614,-14.68955212808929,False,True,HI-only hotspot,True,-0.15776336133737937,0.8790498801068993,1.0368132414442788
las_vegas,32003001709,47.35593783494108,32.08101575859078,-15.2749220763503,False,True,HI-only hotspot,True,0.2665738838236267,0.8586085896011912,0.5920347057775646
las_vegas,32003001803,47.57008928571432,31.627775852444717,-15.9423134332696,False,False,Neither hotspot,False,0.42828796159844085,0.46330497647705426,0.03501701487861342
las_vegas,32003005338,46.58958228905599,32.104452955425614,-14.485129333630375,False,True,HI-only hotspot,True,-0.3121309528839738,0.8790498801068993,1.191180832990873
las_vegas,32003005341,48.113359704641375,33.093711702871204,-15.019648001770172,True,True,Both LST and HI hotspot,True,0.8385325546745556,1.7418546593795254,0.9033221047049699
las_vegas,32003005342,48.4853036175711,33.093711702871204,-15.391591914699896,True,True,Both LST and HI hotspot,False,1.1194018490277222,1.7418546593795254,0.6224528103518032
las_vegas,32003005343,48.48548473597362,33.093711702871204,-15.391773033102416,True,True,Both LST and HI hotspot,False,1.1195386185678131,1.7418546593795254,0.6223160408117123
las_vegas,32003000108,48.17386752136755,30.68612509371,-17.487742427657547,True,False,LST-only hotspot,False,0.8842243571102143,-0.3579773999890631,-1.2422017570992774
las_vegas,32003005834,46.40489662570708,31.65789883697793,-14.74699778872915,False,False,Neither hotspot,True,-0.45159427017115694,0.4895774305628266,0.9411717007339835
las_vegas,32003005349,46.96088377723973,32.03625372401039,-14.924630053229336,False,True,HI-only hotspot,True,-0.031746778407237185,0.8195683511745419,0.851315129581779
las_vegas,32003002846,46.94191040843218,31.968054492595165,-14.973855915837014,False,False,Neither hotspot,True,-0.046074306088772395,0.760086822242178,0.8061611283309504
las_vegas,32003002844,46.76646113602394,31.968054492595165,-14.798406643428777,False,False,Neither hotspot,True,-0.1785628658501709,0.760086822242178,0.9386496880923489
las_vegas,32003005346,46.43183660130722,30.458873194255343,-15.972963407051877,False,False,Neither hotspot,False,-0.431250848290419,-0.5561803731288532,-0.12492952483843417
las_vegas,32003005333,46.79839671886654,32.104452955425614,-14.693943763440927,False,True,HI-only hotspot,True,-0.1544470669193442,0.8790498801068993,1.0334969470262436
las_vegas,32003003262,44.55825940860217,28.484741921582422,-16.073517487019746,False,False,Neither hotspot,False,-1.8460617532095243,-2.277964387040169,-0.43190263383064487
las_vegas,32003001901,47.40355555555559,31.627775852444717,-15.775779703110874,False,False,Neither hotspot,False,0.30253187405488763,0.46330497647705426,0.16077310242216664
las_vegas,32003006700,47.03178094591539,31.627775852444717,-15.404005093470676,False,False,Neither hotspot,False,0.021790427191107003,0.46330497647705426,0.44151454928594724
las_vegas,32003001714,48.5122168674699,32.08101575859078,-16.431201108879122,True,True,Both LST and HI hotspot,False,1.1397250892934012,0.8586085896011912,-0.28111649969221
las_vegas,32003002978,46.20576700014503,30.816047771731157,-15.389719228413874,False,False,Neither hotspot,False,-0.6019647843056125,-0.24466234685255522,0.3573024374530573
las_vegas,32003005806,44.58294377510043,28.484741921582422,-16.09820185351801,False,False,Neither hotspot,False,-1.8274216293658194,-2.277964387040169,-0.4505427576743497
las_vegas,32003003610,46.73029550827426,30.76536905919516,-15.9649264490791,False,False,Neither hotspot,False,-0.20587293597843714,-0.28886295210001844,-0.0829900161215813
las_vegas,32003003613,47.0631692677071,30.76536905919516,-16.297800208511944,False,False,Neither hotspot,False,0.04549296804767241,-0.28886295210001844,-0.33435592014769083
las_vegas,32003005503,47.66059193121697,32.310797782416884,-15.349794148800086,False,True,HI-only hotspot,True,0.49663002419385105,1.059018268929302,0.5623882447354509
las_vegas,32003005828,46.59207686180808,30.816047771731157,-15.776029090076925,False,False,Neither hotspot,False,-0.310247204113699,-0.24466234685255522,0.06558485726114377
