GEOID,city,area_km2,total_population_clean,median_household_income_clean,poverty_rate,inequity_group
04013111401,Phoenix,1.3245387082439253,4322,81150.0,0.16358167515039335,High income + High poverty
04013112502,Phoenix,1.267669981212597,5499,77646.0,0.14212827988338192,High income + High poverty
04013082212,Phoenix,2.570967391888443,6824,105372.0,0.07417743830787309,High income + Low poverty
04013619602,Phoenix,1.8367401774204457,1901,80268.0,0.14509169363538296,High income + High poverty
04013619601,Phoenix,0.75262254889764,0,,,Missing
04013113701,Phoenix,1.2553448369829046,6136,50372.0,0.38153138350312193,Low income + High poverty
04013107402,Phoenix,0.32367911063169286,1380,38125.0,0.22971014492753622,Low income + High poverty
04013617002,Phoenix,3.065212655502782,6159,75738.0,0.14645234616009092,Low income + High poverty
04013082213,Phoenix,2.5679202787067132,6818,108438.0,0.05027932960893855,High income + Low poverty
04013107401,Phoenix,1.3059071020937179,2501,95521.0,0.056377449020391844,High income + Low poverty
04013114704,Phoenix,1.295450937272129,2019,34034.0,0.3494132985658409,Low income + High poverty
04013114705,Phoenix,1.296425008417532,3783,,,Missing
04013107403,Phoenix,0.32087363074686365,2340,51466.0,0.4094017094017094,Low income + High poverty
04013107404,Phoenix,0.6337310067788536,1478,27604.0,0.35994587280108253,Low income + High poverty
04013615201,Phoenix,21.446466566272548,6758,88979.0,0.1550849985087981,High income + High poverty
04013615202,Phoenix,5.3757167301412006,4071,110660.0,0.07000736919675755,High income + Low poverty
04013614602,Phoenix,2.035894929102033,3786,74011.0,0.1045958795562599,Low income + Low poverty
04013612301,Phoenix,19.740597044227844,4784,89829.0,0.06648080634784473,High income + Low poverty
04013109707,Phoenix,0.6648269586696,4833,46798.0,0.3480240016552866,Low income + High poverty
04013612402,Phoenix,52.39481617297332,4979,147908.0,0.045738464638323595,High income + Low poverty
04013109402,Phoenix,1.3259514180848013,4721,76141.0,0.15942649261716244,High income + High poverty
04013615002,Phoenix,8.750264037291899,4841,143170.0,0.024033437826541274,High income + Low poverty
04013615001,Phoenix,6.162403506665203,7246,204453.0,0.024713516498688387,High income + Low poverty
04013617001,Phoenix,1.0218147092216647,0,,,Missing
04013614601,Phoenix,1.3446622742717185,3220,66000.0,0.08664596273291926,Low income + Low poverty
04013612302,Phoenix,3.6608551526280744,4900,146728.0,0.086302780638517,High income + Low poverty
