STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,ALAND,AWATER,area_km2,city,total_population,median_household_income,total_population_clean,median_household_income_clean,poverty_universe,below_poverty_count,poverty_universe_clean,below_poverty_count_clean,poverty_rate,low_income_flag,high_poverty_flag,inequity_group,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,n_nonnull_embed
04,013,116734,04013116734,1167.34,Census Tract 1167.34,921944,0,0.9214327231724894,Phoenix,1488,107984,1488,107984.0,1488,332,1488,332,0.22311827956989247,False,True,High income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,112520,04013112520,1125.20,Census Tract 1125.20,1288087,0,1.2874583905852341,Phoenix,4415,80515,4415,80515.0,4415,1073,4415,1073,0.24303510758776897,False,True,High income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,112507,04013112507,1125.07,Census Tract 1125.07,1246200,0,1.2455662314458484,Phoenix,2954,42097,2954,42097.0,2954,744,2954,744,0.25186188219363576,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,112508,04013112508,1125.08,Census Tract 1125.08,1945055,0,1.944108769470336,Phoenix,2563,70469,2563,70469.0,2563,335,2563,335,0.13070620366757707,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,112601,04013112601,1126.01,Census Tract 1126.01,721054,0,0.7206776696097495,Phoenix,3286,30735,3286,30735.0,3255,1414,3255,1414,0.4344086021505376,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,112602,04013112602,1126.02,Census Tract 1126.02,1880501,0,1.8795203201517041,Phoenix,8475,47188,8475,47188.0,8429,3387,8429,3387,0.40182702574445367,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,109706,04013109706,1097.06,Census Tract 1097.06,627685,0,0.627377543515203,Phoenix,3324,60071,3324,60071.0,3324,783,3324,783,0.2355595667870036,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,113702,04013113702,1137.02,Census Tract 1137.02,1239025,92,1.23838340647125,Phoenix,2389,62557,2389,62557.0,2374,786,2374,786,0.33108677337826453,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,981000,04013981000,9810,Census Tract 9810,643550,0,0.6431788576049975,Phoenix,696,-666666666,696,,2,2,2,2,1.0,False,True,Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,116736,04013116736,1167.36,Census Tract 1167.36,1327094,0,1.3263608857997313,Phoenix,3387,60528,3387,60528.0,3265,714,3265,714,0.21868300153139356,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,112516,04013112516,1125.16,Census Tract 1125.16,5158649,0,5.156076183365177,Phoenix,4476,61401,4476,61401.0,4474,456,4474,456,0.10192221725525256,True,False,Low income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,112517,04013112517,1125.17,Census Tract 1125.17,2567993,0,2.5667464201679633,Phoenix,5106,80568,5106,80568.0,5106,891,5106,891,0.1745005875440658,False,True,High income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,116616,04013116616,1166.16,Census Tract 1166.16,2593101,0,2.591707515869107,Phoenix,5103,89884,5103,89884.0,5103,501,5103,501,0.09817754262198707,False,False,High income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,116738,04013116738,1167.38,Census Tract 1167.38,5310029,0,5.3069192397800995,Phoenix,6603,106586,6603,106586.0,6588,181,6588,181,0.027474195506982393,False,False,High income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,116617,04013116617,1166.17,Census Tract 1166.17,5126765,0,5.123995795316133,Phoenix,3685,71736,3685,71736.0,3683,352,3683,352,0.09557426011403747,True,False,Low income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,116735,04013116735,1167.35,Census Tract 1167.35,1293966,0,1.2932509398182597,Phoenix,2988,56392,2988,56392.0,2988,580,2988,580,0.19410977242302543,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,116737,04013116737,1167.37,Census Tract 1167.37,3163210,0,3.1614091945471623,Phoenix,3540,124330,3540,124330.0,3511,221,3511,221,0.06294502990600968,False,False,High income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,116615,04013116615,1166.15,Census Tract 1166.15,1285273,0,1.28456661360038,Phoenix,4005,54309,4005,54309.0,3996,1121,3996,1121,0.2805305305305305,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,116614,04013116614,1166.14,Census Tract 1166.14,1294040,0,1.2933345996572818,Phoenix,3619,59829,3619,59829.0,3591,410,3591,410,0.11417432470064048,True,False,Low income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,610002,04013610002,6100.02,Census Tract 6100.02,223767913,3549994,227.2043715019183,Phoenix,6753,127105,6753,127105.0,5595,427,5595,427,0.07631814119749776,False,False,High income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,115400,04013115400,1154,Census Tract 1154,2504634,84479,2.587675543583738,Phoenix,1706,45000,1706,45000.0,1706,603,1706,603,0.35345838218053927,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,104202,04013104202,1042.02,Census Tract 1042.02,2578360,0,2.5770081635380784,Phoenix,4995,101731,4995,101731.0,4986,335,4986,335,0.06718812675491376,False,False,High income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
