GEOID,NAME,total_population,median_household_income,below_poverty_count,poverty_universe,poverty_rate
32003002948,Census Tract 29.48; Clark County; Nevada,3729,61591.0,466,3729,0.12496647894877984
32003002949,Census Tract 29.49; Clark County; Nevada,2912,52031.0,398,2782,0.1430625449317038
32003002950,Census Tract 29.50; Clark County; Nevada,4968,59675.0,1062,4953,0.21441550575408844
32003002952,Census Tract 29.52; Clark County; Nevada,2939,75185.0,646,2939,0.2198026539639333
32003002953,Census Tract 29.53; Clark County; Nevada,4023,80152.0,294,3997,0.07355516637478109
32003002954,Census Tract 29.54; Clark County; Nevada,4297,43242.0,1412,4274,0.33036967711745435
32003002956,Census Tract 29.56; Clark County; Nevada,2911,64764.0,433,2911,0.14874613534867742
32003002957,Census Tract 29.57; Clark County; Nevada,2403,135833.0,385,2403,0.16021639617145236
32003002958,Census Tract 29.58; Clark County; Nevada,5394,52798.0,948,5394,0.1757508342602892
32003002961,Census Tract 29.61; Clark County; Nevada,2231,96146.0,229,2231,0.10264455401165397
32003002962,Census Tract 29.62; Clark County; Nevada,2362,48281.0,646,1969,0.32808532249873035
32003002964,Census Tract 29.64; Clark County; Nevada,4069,44835.0,734,4058,0.18087727944800394
32003002965,Census Tract 29.65; Clark County; Nevada,4392,42762.0,560,4392,0.12750455373406194
32003002966,Census Tract 29.66; Clark County; Nevada,5464,49298.0,1399,5464,0.2560395314787701
32003002967,Census Tract 29.67; Clark County; Nevada,4160,54382.0,735,4160,0.17668269230769232
32003002968,Census Tract 29.68; Clark County; Nevada,2548,64271.0,521,2548,0.2044740973312402
32003002969,Census Tract 29.69; Clark County; Nevada,1927,68889.0,459,1927,0.23819408406850026
32003002970,Census Tract 29.70; Clark County; Nevada,3508,48047.0,586,3469,0.16892476217930238
32003002974,Census Tract 29.74; Clark County; Nevada,7432,73629.0,948,7432,0.12755651237890203
32003002975,Census Tract 29.75; Clark County; Nevada,6461,88993.0,709,6461,0.10973533508744776
32003002976,Census Tract 29.76; Clark County; Nevada,7504,91314.0,1031,7442,0.13853802741198604
32003002977,Census Tract 29.77; Clark County; Nevada,4440,116139.0,281,4397,0.06390720946099614
32003002978,Census Tract 29.78; Clark County; Nevada,7518,90938.0,719,7446,0.09656191243620736
32003002979,Census Tract 29.79; Clark County; Nevada,5143,82143.0,204,5137,0.03971189410161573
32003002980,Census Tract 29.80; Clark County; Nevada,6358,90597.0,695,6358,0.1093111041207927
32003002981,Census Tract 29.81; Clark County; Nevada,4495,90761.0,342,4482,0.07630522088353414
32003002982,Census Tract 29.82; Clark County; Nevada,7266,75668.0,1365,7258,0.1880683383852301
32003002983,Census Tract 29.83; Clark County; Nevada,3757,83141.0,349,3757,0.09289326590364652
32003002985,Census Tract 29.85; Clark County; Nevada,4439,102813.0,192,4439,0.04325298490651047
32003002995,Census Tract 29.95; Clark County; Nevada,2364,37592.0,557,2349,0.23712217965091528
32003002996,Census Tract 29.96; Clark County; Nevada,3699,34064.0,1247,3699,0.33711814003784807
32003002997,Census Tract 29.97; Clark County; Nevada,4056,56278.0,947,4056,0.23348126232741617
32003002998,Census Tract 29.98; Clark County; Nevada,4149,72108.0,224,4141,0.05409321419946873
32003003001,Census Tract 30.01; Clark County; Nevada,3970,67446.0,789,3947,0.1998986572080061
32003003003,Census Tract 30.03; Clark County; Nevada,5599,61179.0,429,5599,0.07662082514734773
32003003004,Census Tract 30.04; Clark County; Nevada,1652,41410.0,286,1652,0.17312348668280872
32003003005,Census Tract 30.05; Clark County; Nevada,4304,82864.0,1149,4304,0.2669609665427509
32003003006,Census Tract 30.06; Clark County; Nevada,3279,80152.0,341,3272,0.10421760391198044
32003003102,Census Tract 31.02; Clark County; Nevada,5905,50960.0,1032,5905,0.17476714648602878
32003003103,Census Tract 31.03; Clark County; Nevada,3575,70054.0,163,3391,0.04806841639634326
32003003104,Census Tract 31.04; Clark County; Nevada,4304,54615.0,819,4304,0.19028810408921934
32003003204,Census Tract 32.04; Clark County; Nevada,7046,115320.0,261,7046,0.037042293499858076
32003003208,Census Tract 32.08; Clark County; Nevada,3409,128636.0,122,3409,0.03578762100322675
32003003210,Census Tract 32.10; Clark County; Nevada,2516,64028.0,227,2516,0.09022257551669316
32003003211,Census Tract 32.11; Clark County; Nevada,2960,51667.0,328,2960,0.11081081081081082
32003003213,Census Tract 32.13; Clark County; Nevada,1642,78717.0,109,1642,0.06638246041412911
32003003214,Census Tract 32.14; Clark County; Nevada,1702,80606.0,97,1448,0.06698895027624309
32003003215,Census Tract 32.15; Clark County; Nevada,4320,87889.0,89,4304,0.020678438661710038
32003003218,Census Tract 32.18; Clark County; Nevada,5232,110833.0,548,5232,0.10474006116207951
32003003219,Census Tract 32.19; Clark County; Nevada,6859,81902.0,547,6812,0.08029947152084557
32003003220,Census Tract 32.20; Clark County; Nevada,7005,58624.0,778,6943,0.11205530750396082
32003003222,Census Tract 32.22; Clark County; Nevada,4666,83036.0,428,4666,0.09172738962708958
32003003223,Census Tract 32.23; Clark County; Nevada,3534,135417.0,316,3534,0.08941709111488398
32003003226,Census Tract 32.26; Clark County; Nevada,2710,135827.0,112,2655,0.04218455743879473
32003003227,Census Tract 32.27; Clark County; Nevada,4157,79970.0,187,3939,0.04747397816704747
32003003228,Census Tract 32.28; Clark County; Nevada,6703,67994.0,807,6703,0.12039385349843354
32003003229,Census Tract 32.29; Clark County; Nevada,8909,113319.0,570,8909,0.06398024469637445
32003003233,Census Tract 32.33; Clark County; Nevada,7014,96274.0,572,6995,0.08177269478198713
32003003234,Census Tract 32.34; Clark County; Nevada,5344,72553.0,536,5344,0.10029940119760479
32003003235,Census Tract 32.35; Clark County; Nevada,2391,94167.0,67,2334,0.028706083976006855
32003003236,Census Tract 32.36; Clark County; Nevada,2477,100938.0,102,2435,0.04188911704312115
32003003237,Census Tract 32.37; Clark County; Nevada,4298,103083.0,456,4276,0.10664172123479888
32003003239,Census Tract 32.39; Clark County; Nevada,3732,81750.0,342,3732,0.09163987138263666
32003003240,Census Tract 32.40; Clark County; Nevada,4313,100388.0,612,4313,0.1418965916995131
32003003241,Census Tract 32.41; Clark County; Nevada,4185,92500.0,372,4155,0.08953068592057761
32003003242,Census Tract 32.42; Clark County; Nevada,2196,191250.0,29,2196,0.013205828779599272
32003003243,Census Tract 32.43; Clark County; Nevada,5483,98000.0,510,5483,0.0930147729345249
32003003244,Census Tract 32.44; Clark County; Nevada,3460,87951.0,288,3449,0.08350246448245868
32003003245,Census Tract 32.45; Clark County; Nevada,4988,92500.0,328,4988,0.06575781876503609
