GEOID,STATEFP,COUNTYFP,TRACTCE,NAME,NAMELSAD,area_km2,GEOIDFQ,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,acs_name,total_population,median_household_income,below_poverty_count,poverty_universe,poverty_rate,city,centroid_lon,centroid_lat,lst_c,air_temp_c,rh_pct,hi_c,hi_minus_lst,has_heat_data,has_alphaearth_embedding,has_pc_scores
32003003311,32,003,003311,33.11,Census Tract 33.11,1.2456059109107096,1400000US32003003311,G5020,S,1245813,0,+36.2982064,-115.2154981,Census Tract 33.11; Clark County; Nevada,3009,93178.0,128,3009,0.0425390495181123,las_vegas,-115.21549812678026,36.298206388277464,,,,,,False,False,False
32003003103,32,003,003103,31.03,Census Tract 31.03,0.7579306254179315,1400000US32003003103,G5020,S,758064,0,+36.1846882,-115.2289059,Census Tract 31.03; Clark County; Nevada,3575,70054.0,163,3391,0.0480684163963432,las_vegas,-115.22890586515075,36.18468820913737,,,,,,False,False,False
32003003220,32,003,003220,32.20,Census Tract 32.20,2.991429859011873,1400000US32003003220,G5020,S,2992043,0,+36.1832291,-115.2738498,Census Tract 32.20; Clark County; Nevada,7005,58624.0,778,6943,0.1120553075039608,las_vegas,-115.27384978086947,36.183229077700666,,,,,,False,False,False
32003003305,32,003,003305,33.05,Census Tract 33.05,3.2418018870912384,1400000US32003003305,G5020,S,3242390,0,+36.2556475,-115.2367681,Census Tract 33.05; Clark County; Nevada,5876,79971.0,301,5876,0.0512253233492171,las_vegas,-115.23676804589141,36.2556475360538,,,,,,False,False,False
32003003500,32,003,003500,35,Census Tract 35,0.9834707342823517,1400000US32003003500,G5020,S,983593,0,+36.1993503,-115.1585536,Census Tract 35; Clark County; Nevada,2503,38558.0,795,2503,0.3176188573711546,las_vegas,-115.15855363313295,36.19935034870353,,,,,,False,False,False
32003004924,32,003,004924,49.24,Census Tract 49.24,1.4234648808539478,1400000US32003004924,G5020,S,1423538,0,+36.1477546,-115.0594115,Census Tract 49.24; Clark County; Nevada,4233,72344.0,465,4233,0.109851169383416,las_vegas,-115.05941148267745,36.14775459710934,,,,,,False,False,False
32003005006,32,003,005006,50.06,Census Tract 50.06,1.3578655644519892,1400000US32003005006,G5020,S,1357929,0,+36.1333773,-115.0563301,Census Tract 50.06; Clark County; Nevada,4145,37485.0,953,4116,0.2315354713313897,las_vegas,-115.05633008050474,36.133377290987404,,,,,,False,False,False
32003005010,32,003,005010,50.10,Census Tract 50.10,2.8121476125157576,1400000US32003005010,G5020,S,2812256,0,+36.0897011,-115.0488686,Census Tract 50.10; Clark County; Nevada,4727,39033.0,1443,4727,0.3052676115929765,las_vegas,-115.04886855462497,36.08970109609343,,,,,,False,False,False
32003004923,32,003,004923,49.23,Census Tract 49.23,1.038842414668217,1400000US32003004923,G5020,S,1038872,0,+36.1534607,-115.0331059,Census Tract 49.23; Clark County; Nevada,3971,57873.0,1065,3971,0.2681944094686477,las_vegas,-115.03310588132756,36.153460677414444,,,,,,False,False,False
32003005107,32,003,005107,51.07,Census Tract 51.07,1.3729520256596643,1400000US32003005107,G5020,S,1373020,0,+36.0505580,-115.0614349,Census Tract 51.07; Clark County; Nevada,4807,95357.0,297,4807,0.0617848970251716,las_vegas,-115.06143489398434,36.050558003230094,,,,,,False,False,False
32003004921,32,003,004921,49.21,Census Tract 49.21,1.3307939724699807,1400000US32003004921,G5020,S,1330854,0,+36.1630854,-115.0533978,Census Tract 49.21; Clark County; Nevada,5106,43315.0,1031,5013,0.2056652702972272,las_vegas,-115.05339778969777,36.16308536448486,,,,,,False,False,False
32003005108,32,003,005108,51.08,Census Tract 51.08,1.4430458922465732,1400000US32003005108,G5020,S,1443103,0,+36.0485775,-115.0510218,Census Tract 51.08; Clark County; Nevada,3639,54004.0,633,3639,0.1739488870568837,las_vegas,-115.0510218258393,36.04857750944588,,,,,,False,False,False
32003005200,32,003,005200,52,Census Tract 52,2.4033523859060404,1400000US32003005200,G5020,S,2403328,0,+36.0320100,-114.9882972,Census Tract 52; Clark County; Nevada,4183,61063.0,524,3822,0.1371009942438514,las_vegas,-114.98829719615911,36.03200998781152,,,,,,False,False,False
32003005311,32,003,005311,53.11,Census Tract 53.11,0.653734351191447,1400000US32003005311,G5020,S,653792,0,+36.0459281,-115.1137268,Census Tract 53.11; Clark County; Nevada,3369,80968.0,209,3369,0.0620362125259721,las_vegas,-115.11372679608753,36.04592812933799,,,,,,False,False,False
32003005312,32,003,005312,53.12,Census Tract 53.12,0.9856416718119448,1400000US32003005312,G5020,S,985720,0,+36.0478365,-115.1047641,Census Tract 53.12; Clark County; Nevada,2722,96184.0,129,2722,0.0473916238060249,las_vegas,-115.10476412583172,36.04783650206612,,,,,,False,False,False
