GEOID,city,STATEFP,COUNTYFP,TRACTCE,NAME,NAMELSAD,ALAND,AWATER,area_km2,total_population_clean,median_household_income_clean,below_poverty_count,poverty_universe,poverty_rate,heat_source_file,notes,lst_c,air_temp_c,rh_pct,hi_c,hi_minus_lst,has_heat_data,heat_merge_status
32003003663,las_vegas,32,3,3663,36.63,Census Tract 36.63,1655671,0,1.655410492062204,3367,90595.0,472,3367,0.1401841401841402,,,46.74327243589747,32.62862106544353,18.369641309329747,30.83155108494943,-15.911721350948035,True,ok
32003003660,las_vegas,32,3,3660,36.6,Census Tract 36.60,1365812,0,1.365637265117862,5307,116898.0,200,5240,0.0381679389312977,,,46.618914198937006,32.588198100656385,17.971032467531902,30.765369059195162,-15.853545139741843,True,ok
32003005877,las_vegas,32,3,5877,58.77,Census Tract 58.77,418437707,0,418.3347948872914,7160,133289.0,374,7160,0.0522346368715083,,,45.53560100367228,30.009650800548535,17.188791632086993,28.243957473342334,-17.291643530329942,True,ok
32003003653,las_vegas,32,3,3653,36.53,Census Tract 36.53,1323894,0,1.3237628992067108,2467,111272.0,124,2467,0.0502634779083907,,,47.47290556900729,32.588198100656385,17.971032467531902,30.765369059195162,-16.707536509812126,True,ok
32003003265,las_vegas,32,3,3265,32.65,Census Tract 32.65,2018056,0,2.017567440554102,9444,114344.0,541,9390,0.0576144834930777,,,46.06733227680933,30.50620134878768,19.1824593293042,28.819043333904688,-17.248288942904644,True,ok
32003003266,las_vegas,32,3,3266,32.66,Census Tract 32.66,4721840,0,4.720692570585963,5330,76702.0,481,5330,0.0902439024390243,,,45.615816486972186,30.50620134878768,19.1824593293042,28.819043333904688,-16.796773153067498,True,ok
32003003647,las_vegas,32,3,3647,36.47,Census Tract 36.47,2283918,0,2.283747423256354,5674,102419.0,579,5674,0.1020444131124427,,,47.57631162369972,32.78920633067228,17.095283073660447,30.894111814136732,-16.68219980956299,True,ok
32003003659,las_vegas,32,3,3659,36.59,Census Tract 36.59,1955102,0,1.9548813126692737,3151,97720.0,123,3151,0.0390352269120914,,,48.484751950947626,,,,,False,missing
32003005442,las_vegas,32,3,5442,54.42,Census Tract 54.42,5697275,0,5.697371791006853,4912,122672.0,118,4912,0.0240228013029315,,,49.50623306997744,35.11646976194532,16.48595065754089,33.093711702871204,-16.412521367106237,True,ok
32003003264,las_vegas,32,3,3264,32.64,Census Tract 32.64,1341160,0,1.3408392930546142,6691,111023.0,205,6691,0.0306381706770288,,,46.0438412698413,31.549442545572344,19.880133534995316,29.88036829156433,-16.16347297827697,True,ok
32003003662,las_vegas,32,3,3662,36.62,Census Tract 36.62,2633268,0,2.6328595283376695,5371,116910.0,426,5349,0.079641054402692,,,46.81018830128208,30.864705934385594,18.62705916782039,29.154310615918835,-17.655877685363247,True,ok
32003002944,las_vegas,32,3,2944,29.44,Census Tract 29.44,1608028,0,1.6077025168016632,4804,111189.0,408,4761,0.0856962822936358,,,45.57729747675967,32.540011287080745,17.775461181011654,30.68612509371,-14.891172383049668,True,ok
32003002946,las_vegas,32,3,2946,29.46,Census Tract 29.46,912249,0,0.9120993385600938,1795,46724.0,298,1795,0.166016713091922,,,47.615653477218245,32.540011287080745,17.775461181011654,30.68612509371,-16.929528383508245,True,ok
