GEOID,lst_c
32003005829,46.536162280701795
32003002936,46.76103970741906
32003002962,46.482133248190756
32003001804,48.01013719512198
32003003411,46.19042884990255
32003005106,46.825857740585796
32003003208,46.17723062015507
32003002826,47.977541106128584
32003002827,48.28228045325782
32003002825,47.72981078904996
32003002829,46.95532036613276
32003003210,44.69867454068244
32003002981,46.229994675186404
32003003237,44.644923504867904
32003003321,45.85790645424841
32003003319,46.10162079510706
32003001710,47.906417543859675
32003001711,47.56084415584419
32003000402,48.012703619909544
32003002842,45.51753864247315
32003002964,47.24155677655681
32003003416,46.87769197207681
32003003423,47.89590127565171
32003005807,44.84985841423952
32003005808,44.85630494505497
32003000106,48.35030303030305
32003000109,48.143918918918956
32003003633,46.468293650793676
32003003631,46.4841035044825
32003005704,49.15220410628022
32003005358,49.17685562015508
32003005713,46.604695626477564
32003001614,48.30933333333336
32003001713,48.03191997063144
32003005435,48.72493042685943
32003000528,48.92951612903229
32003001402,48.24946984758121
32003003431,47.50921568627453
32003000107,48.180323709536346
32003003430,47.812347294938945
32003001717,47.626075388026635
32003001718,49.11213305898494
32003005433,48.33075937950941
32003002201,48.05299723756909
32003002203,47.810403885480625
32003002403,46.80333333333336
32003002405,46.59500000000003
32003002406,46.38343457943928
32003002501,46.8803231663036
32003002504,47.791433915212004
32003002505,47.67661564625853
32003001708,47.284510752688206
32003002603,47.05526925148091
32003005318,46.70752103559874
32003003222,44.740369595537
32003003418,45.774858674463964
32003003616,47.55182418879059
32003000401,47.96363991081385
32003002968,46.067367601246126
32003002969,46.1844774774775
32003005837,45.775415263748634
32003005830,46.49242962962966
32003005831,46.41306859806864
32003002838,46.98159846972724
32003005845,44.541725589225614
32003005825,45.24802993527511
32003005849,45.57903487429038
32003005826,45.36694319880421
32003005809,45.03352248394007
32003000527,48.685502544529285
32003002995,47.623385012919925
32003002302,47.367014448924756
32003003248,45.21064741907265
32003003246,45.62503212851408
32003003252,44.649368327402165
32003003250,44.71675809822366
32003005850,45.81427872860638
32003005319,47.352615493958815
32003005320,47.36470817120625
32003005321,46.80810774410778
32003005322,47.07472303207001
32003003322,45.75358109343575
32003003657,47.631516412991665
32003003650,47.27164759725404
32003003651,47.20324538258579
32003005863,46.0592783505155
32003005868,46.95359386973183
32003005835,46.04653053715971
32003005836,45.767840909090935
32003002980,46.04459657701716
32003002983,46.345740296118464
32003005352,46.402427745664774
32003005438,50.0230019212296
32003005440,48.59007445589923
32003005362,48.865658263305356
32003005860,46.147516962136166
32003005112,48.77945030895985
32003005876,45.635675667692006
32003003661,48.022941611234316
32003005720,46.81919858550542
32003007802,48.12877072089813
32003005361,48.39541266794628
32003003267,45.70727952999384
32003005110,47.91561605061608
32003005858,45.575371680234916
32003005866,46.24454340836016
32003002901,46.42280788177342
32003005865,46.156014669926684
32003003649,48.82208384146343
32003005364,46.474277907884506
32003005717,46.82465452847809
32003001615,48.521702767749744
32003005114,48.43438172043013
32003002998,45.11744744744748
32003002849,46.57695454545458
32003005867,47.114823633156995
32003005857,46.38479638009053
32003005874,45.05578408195432
32003007900,47.21659436834097
32003002850,46.65638480392161
32003002997,45.03881326352533
32003005363,46.81153846153848
32003005862,45.295904139433596
32003005441,48.4985486891386
32003002851,46.60614783226727
32003002853,46.60693243243246
32003003666,46.23469818913484
32003005861,45.45108695652178
32003002902,46.37138960481104
32003005113,48.088216966966996
32003006001,48.17383277962352
32003002404,46.13435724962634
32003004914,48.96898391812869
32003005502,49.256297514033704
32003005613,47.40568457565621
32003005721,46.22597652081114
32003005365,46.459037494284445
32003005869,46.44122053872057
32003003268,46.00843383584593
32003003656,48.001456140350896
32003005102,46.45192794279432
32003005103,46.90208004212746
32003003318,46.11521718602459
32003003308,45.85543137254904
32003003427,47.79608815427001
32003003426,47.63853018372707
32003000301,47.5826785714286
32003005702,49.201462646718085
32003005501,49.41439275437888
32003005902,45.42845684674513
32003002708,47.30230971128613
32003003410,46.587410179640756
32003002940,45.43902680652683
32003003223,44.45657988587735
32003005007,48.552066014669954
32003006204,47.49002765923823
32003005818,42.88135434661755
32003004917,48.509115479115515
32003004918,48.49491942324006
32003004919,48.541337121212145
32003004920,49.194632414369295
32003005716,45.61947740112996
32003005104,46.975191021967554
32003005012,48.95355376344089
32003004915,48.914630102040846
32003004916,48.84875000000003
