GEOID,air_temp_c,rh_pct,hi_c
32003003244,32.66904403023068,18.768250151127596,30.8977331107037
32003003245,32.66904403023068,18.768250151127596,30.8977331107037
32003003246,32.66904403023068,18.768250151127596,30.8977331107037
32003003247,32.66904403023068,18.768250151127596,30.8977331107037
32003003248,32.66904403023068,18.768250151127596,30.8977331107037
32003003249,,,
32003003250,30.223245018115065,18.047034424237182,28.484741921582422
32003003251,30.223245018115065,18.047034424237182,28.484741921582422
32003003252,30.223245018115065,18.047034424237182,28.484741921582422
32003003253,32.540011287080745,17.775461181011654,30.68612509371
32003003254,,,
32003003260,,,
32003003261,,,
32003003262,30.223245018115065,18.047034424237182,28.484741921582422
32003003263,31.549442545572344,19.880133534995316,29.88036829156433
32003003264,31.549442545572344,19.880133534995316,29.88036829156433
32003003265,30.50620134878768,19.1824593293042,28.819043333904688
32003003266,30.50620134878768,19.1824593293042,28.819043333904688
32003003267,30.746517202281346,19.136436087284583,29.050008864660136
32003003268,32.66904403023068,18.768250151127596,30.8977331107037
32003003269,30.50620134878768,19.1824593293042,28.819043333904688
32003003270,30.50620134878768,19.1824593293042,28.819043333904688
32003003303,32.66904403023068,18.768250151127596,30.8977331107037
32003003305,32.66904403023068,18.768250151127596,30.8977331107037
32003003306,32.66904403023068,18.768250151127596,30.8977331107037
32003003307,32.66904403023068,18.768250151127596,30.8977331107037
32003003308,32.66904403023068,18.768250151127596,30.8977331107037
32003003309,32.66904403023068,18.768250151127596,30.8977331107037
32003003311,,,
32003003312,31.341727524908794,19.238969995708572,29.637118028827103
32003003313,31.341727524908794,19.238969995708572,29.637118028827103
32003003314,31.341727524908794,19.238969995708572,29.637118028827103
32003003315,,,
32003003316,31.40404203110786,19.431319057494594,29.71009310764827
32003003317,31.341727524908794,19.238969995708572,29.637118028827103
32003003318,32.10019409937844,18.969987227376585,30.35746950418516
32003003319,32.00538577756974,19.003610073418084,30.2674255697654
32003003320,32.66904403023068,18.768250151127596,30.8977331107037
