city,path,rows,geoid_col,overlap,reason
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_gap_model_baseline_vs_pc5_rf_cv_folds_corrected.csv,0,,0,no readable geometry
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_alphaearth_top4_explained_variance_summary.csv,0,,0,no readable geometry
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_alphaearth_pc7_explained_variance_corrected.csv,0,,0,no readable geometry
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_alphaearth_pca_explained_variance.csv,0,,0,no readable geometry
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_gap_model_baseline_vs_pc7_rf_cv_folds_corrected.csv,0,,0,no readable geometry
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_alphaearth_pc7_scores_corrected.csv,0,,0,no readable geometry
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_gap_model_baseline_vs_pc7_rf_cv_corrected.csv,0,,0,no readable geometry
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_gap_model_baseline_vs_pc5_rf_cv_corrected.csv,0,,0,no readable geometry
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_alphaearth_pc5_loadings_corrected.csv,0,,0,no readable geometry
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_tracts_heat_ready_with_alphaearth.csv,0,,0,no readable geometry
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_alphaearth_pc5_scores_corrected.csv,0,,0,no readable geometry
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_alphaearth_2024_tract_mean_mosaic_clean.csv,0,,0,no readable geometry
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_alphaearth_pc7_loadings_corrected.csv,0,,0,no readable geometry
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_alphaearth_pc5_explained_variance_corrected.csv,0,,0,no readable geometry
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/phoenix_tracts_heat_ready_with_alphaearth_fixed.csv,0,,0,no readable geometry
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/heat_ready/phoenix/phoenix_tract_lookup.csv,0,,0,no readable geometry
