city,pc,observable,spearman_r,p_value,n
boston,PC7,hi_minus_lst_z,-0.083,0.2558,191
chicago,PC1,lst_c,0.418,0.0,872
chicago,PC1,hi_c,0.105,0.002,872
chicago,PC1,hi_minus_lst_z,-0.45,0.0,872
chicago,PC2,lst_c,-0.23,0.0,872
chicago,PC2,hi_c,-0.448,0.0,872
chicago,PC2,hi_minus_lst_z,0.18,0.0,872
chicago,PC3,lst_c,0.038,0.2603,872
chicago,PC3,hi_c,0.01,0.761,872
chicago,PC3,hi_minus_lst_z,-0.036,0.29,872
chicago,PC4,lst_c,-0.383,0.0,872
chicago,PC4,hi_c,-0.313,0.0,872
chicago,PC4,hi_minus_lst_z,0.358,0.0,872
chicago,PC5,lst_c,0.315,0.0,872
chicago,PC5,hi_c,0.334,0.0,872
chicago,PC5,hi_minus_lst_z,-0.278,0.0,872
chicago,PC6,lst_c,0.188,0.0,872
chicago,PC6,hi_c,0.178,0.0,872
chicago,PC6,hi_minus_lst_z,-0.183,0.0,872
chicago,PC7,lst_c,0.059,0.0805,872
chicago,PC7,hi_c,0.178,0.0,872
chicago,PC7,hi_minus_lst_z,-0.032,0.347,872
dallas,PC1,lst_c,0.515,0.0,449
dallas,PC1,hi_c,-0.073,0.1205,449
dallas,PC1,hi_minus_lst_z,-0.527,0.0,449
dallas,PC2,lst_c,-0.323,0.0,449
dallas,PC2,hi_c,0.071,0.1318,449
dallas,PC2,hi_minus_lst_z,0.333,0.0,449
dallas,PC3,lst_c,0.084,0.0756,449
dallas,PC3,hi_c,0.036,0.45,449
dallas,PC3,hi_minus_lst_z,-0.085,0.0707,449
dallas,PC4,lst_c,-0.023,0.6201,449
dallas,PC4,hi_c,0.389,0.0,449
dallas,PC4,hi_minus_lst_z,0.052,0.2717,449
dallas,PC5,lst_c,0.063,0.1844,449
dallas,PC5,hi_c,-0.051,0.2827,449
dallas,PC5,hi_minus_lst_z,-0.055,0.246,449
dallas,PC6,lst_c,-0.045,0.3435,449
dallas,PC6,hi_c,-0.075,0.1129,449
dallas,PC6,hi_minus_lst_z,0.043,0.3659,449
dallas,PC7,lst_c,0.02,0.6743,449
dallas,PC7,hi_c,-0.095,0.0447,449
dallas,PC7,hi_minus_lst_z,-0.018,0.7075,449
houston,PC1,lst_c,0.606,0.0,549
houston,PC1,hi_c,0.192,0.0,549
houston,PC1,hi_minus_lst_z,-0.607,0.0,549
houston,PC1,poverty_rate,-0.099,0.0206,546
houston,PC2,lst_c,0.47,0.0,549
houston,PC2,hi_c,0.015,0.7177,549
houston,PC2,hi_minus_lst_z,-0.472,0.0,549
houston,PC2,poverty_rate,0.221,0.0,546
houston,PC3,lst_c,0.194,0.0,549
houston,PC3,hi_c,0.039,0.3567,549
houston,PC3,hi_minus_lst_z,-0.197,0.0,549
houston,PC3,poverty_rate,0.314,0.0,546
houston,PC4,lst_c,-0.008,0.8479,549
houston,PC4,hi_c,-0.074,0.0814,549
houston,PC4,hi_minus_lst_z,0.012,0.7791,549
houston,PC4,poverty_rate,0.138,0.0012,546
houston,PC5,lst_c,-0.167,0.0001,549
houston,PC5,hi_c,-0.056,0.1904,549
houston,PC5,hi_minus_lst_z,0.164,0.0001,549
houston,PC5,poverty_rate,-0.01,0.8143,546
houston,PC6,lst_c,-0.217,0.0,549
houston,PC6,hi_c,-0.32,0.0,549
houston,PC6,hi_minus_lst_z,0.211,0.0,549
houston,PC6,poverty_rate,-0.07,0.1014,546
houston,PC7,lst_c,-0.191,0.0,549
houston,PC7,hi_c,-0.285,0.0,549
houston,PC7,hi_minus_lst_z,0.181,0.0,549
houston,PC7,poverty_rate,0.151,0.0004,546
las_vegas,PC1,lst_c,-0.222,0.0,458
las_vegas,PC1,hi_c,-0.123,0.0082,458
las_vegas,PC1,hi_minus_lst_z,0.151,0.0012,458
las_vegas,PC2,lst_c,-0.154,0.001,458
las_vegas,PC2,hi_c,-0.081,0.085,458
las_vegas,PC2,hi_minus_lst_z,0.102,0.0285,458
las_vegas,PC3,lst_c,-0.426,0.0,458
las_vegas,PC3,hi_c,-0.164,0.0004,458
las_vegas,PC3,hi_minus_lst_z,0.344,0.0,458
las_vegas,PC4,lst_c,0.11,0.019,458
